id	question	question_concept	choices	answerKey
80930e9df9ac4ad752749a54e7fc124f	He wanted a house that was gated off from other places, where should he start looking?	house	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['neighborhood', 'subdivision', 'city', 'suburbs', 'street'],
      dtype=object)}"	B
f080ab037c1aaf689a43cc030e9d93e9	Where in Southern Europe would you find many canals?	canal	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'new york', 'amsterdam', 'venice', 'bridge'],
      dtype=object)}"	D
a261d4eaf8b33c0730d830ebbffbd9f8	What would a camper need to do before he or she can start cooking food?	camper	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make breakfast', 'go hiking', 'pack or bag', 'light fire',
       'grab a match'], dtype=object)}"	D
bfd14dedb440ae1c266c61aa22960778	What could happen to a paper if you leave it outside even if it does not move?	paper	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['one material often recycled', 'ripped', 'saturated with water',
       'one dimensional', 'crumpled'], dtype=object)}"	C
5a953b5fb26f1614640574f65410e8b0	Mark's semen was very thick, but after his vasectomy it was also what?	thick	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['blank', 'sparse', 'thin', 'clear', 'free flowing'], dtype=object)}	D
ac0351d8649fb60af40c5638061a2e21	What is a great place to lay in the sun?	sun	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['in the basement', 'west', 'solar system', 'beach', 'beans'],
      dtype=object)}"	D
c8b18acf8e95172ff79b0a837e9369f3	Where would you find a seafood restaurant in the east coast of North America?	seafood restaurant	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maine', 'boston', 'beach town', 'coastal cities', 'ocean'],
      dtype=object)}"	A
7a7ff4499a7162265ddac0c3e2e8e5fc	The president is the leader of what institution?	president	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walmart', 'white house', 'country', 'corporation', 'government'],
      dtype=object)}"	E
fb721d7949d06915a2dd6fc6ec815325	Sitting to close while watching TV can cause what sort of pain?	watching tv	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['brain problems', 'laziness', 'get fat', 'headache', 'laughter'],
      dtype=object)}"	D
47db2878d917ceb8d82627de4722a254	Where is a bald eagle safe?	bald eagle	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pine tree', 'open country', 'in washington', 'wildlife refuge',
       'sky'], dtype=object)}"	D
f03a340e093dbd5eea88feb6507ed20e	The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?	free	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['costly', 'captive', 'contained', 'paying', 'caught'], dtype=object)}	D
5f6296570569960a05c47a2a79656363	What kind of driving leads to accidents?	driving	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stressful', 'dangerous', 'fun', 'illegal', 'deadly'], dtype=object)}	B
89586c4ab04f3133a2c7165322409c3d	What is eating too much dinner likely to result in?	eating dinner	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tiredness', 'living longer', 'stomach ache', 'illness',
       'acid reflux'], dtype=object)}"	C
98b176ac1c91370e079863d13c7dd964	What is a person chatting with friends likely hoping to accomplish?	chatting with friends	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gathering of information', 'communication', 'feel relaxed',
       'kill boredom', 'social bonding'], dtype=object)}"	E
b13d110147ecf24562b64a69df4fe5ad	Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?	sunshine	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['disneyland', 'snow', 'windowsill', 'street', 'summer'],
      dtype=object)}"	D
145f1ccce9aeab854f6514f927f58288	A fox was thirsty searching for water during the drought, where was he?	fox	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painting', 'hen house', 'california', 'virginia', 'movie hall'],
      dtype=object)}"	C
c428412a660f34965772a7389ce58e0a	What might be the result of a season of successful skiing?	skiing	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['finish line', 'broken bones', 'broken legs', 'chapped lips',
       'healthy body'], dtype=object)}"	E
80f8afc17b5b5915a327240db8bc2a52	The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?	distance	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['near', 'closeness', 'here', 'proximity', 'this'], dtype=object)}	D
a662c9971a497d601c5be888670d10ae	The man was eating lunch, but rushed when he looked at his watch, why did he rush?	eating lunch	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain weight', 'late for work', 'heartburn', 'bad breath',
       'early for work'], dtype=object)}"	B
8bf8c8597dfc5e8ec72b486541338e33	The evacuation became mandatory, so what came on the TV?	mandatory	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['advisory', 'mandate', 'soap opera', 'elective', 'optional'],
      dtype=object)}"	A
313b72ce5b14f3d0b86b91c7bc6497be	The person gave a good hands on what to show how to do the work?	person	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['demonstration', 'garage', 'building', 'barn', 'synagogue'],
      dtype=object)}"	A
6efbe0725841b961848b6935fe67a471	Where would you see some people doing jumping jacks?	people	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['military base', 'opera', 'water fountain', 'bus stop', 'church'],
      dtype=object)}"	A
4163cfdd31feb277084ceb3996b3a851	The body guard was good at his duties, he made the person who hired him what?	person	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['better job', 'irritated', 'feel safe', 'save money', 'headache'],
      dtype=object)}"	C
3f720c9ad7f3eb99400dd8c81fc269d8	Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,	learning language	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['better communication', 'overthinking', 'frustration',
       'misunderstandings', 'headaches'], dtype=object)}"	C
4dbeeb50a01a3b5c9c76d1052c4b14ea	Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?	killing people	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['going to jail', 'going to prison', 'beat him up', 'get arrested',
       'die'], dtype=object)}"	D
129014ff081296c3d9bbc338c5ff32db	Where is there usually a fiddle playing?	fiddle	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'dance hall', 'orchestra', 'symphony', 'tennessee'],
      dtype=object)}"	C
8f495e9bcd88ce23617197520442090c	What is the only was to recover from exhaustion?	exhaustion	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mediate', 'have rest', 'stay in bed', 'run out of steam',
       'go to sleep'], dtype=object)}"	B
6dc921840aa1e5dda3333b79007f630b	What would you do if you want to be able to earn money?	money	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apply for job', 'stand in line', 'take care of proposals',
       'pass course', 'play the lottery'], dtype=object)}"	A
c879e1677869c4d58102c608da805453	What is a grumpy person likely to have?	person	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['headache', 'understand themselves', 'compliments', 'own house',
       'happiness'], dtype=object)}"	A
16699879d1f1b67f1664e78324cadd65	What do drugs do?	drugs	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['damage', 'cloud mind', 'lower i.q', 'cause illness',
       'cause accidents'], dtype=object)}"	E
a7c9d4f6be3bb973c4ebecb1e841b3ac	A beaver can destroy a machines functionality if they build their dam in this?	beaver	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['strip club', 'pocket', 'millpond', 'ontario', 'lake or river'],
      dtype=object)}"	C
9f84a7225b5da1e119ae54919f38ba79	They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?	booze	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reach tentative agreement', 'suicide', 'examine thing',
       'commit murder', 'stay in bed'], dtype=object)}"	A
70a97a0079878b3a46080d00a4e118fb	Where could a fungus grow and not be disturbed by sunlight?	fungus	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['under rocks', 'manhattan', 'toenails', 'grocery store',
       'fallen tree'], dtype=object)}"	A
00dc6e53c3715d0050ffb78646cd6c7c	Can you name a good reason for attending school?	attending school	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get smart', 'boredom', 'colds and flu', 'taking tests',
       'spend time'], dtype=object)}"	A
d829cc86312173f28b877987ae87fd7c	What state south of Kentucky and north of Alabama will you find people playing the fiddle?	fiddle	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['alabama', 'tennessee', 'violin case', 'music store',
       'bow and strings'], dtype=object)}"	B
223d54ae26635218666dc05f42a469e9	Though she made the cut years ago, its figurative scars would never what?	cut	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['joining', 'put together', 'stitch', 'heal', 'paste'], dtype=object)}	D
f75bb741497541837b92c4c2a113f5a4	What does sex often make happen in people?	sex	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['making love', 'feel good', 'happyness', 'wonderful thing',
       'cloud judgment'], dtype=object)}"	B
5208880ea3b34d2de7ab59aedf499225	Where would you see people in uniform playing with a ball?	ball	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hole', 'television', 'sporting goods store', 'pool table',
       'sporting event'], dtype=object)}"	E
21db09783c773fed677cd5ec3b71eecf	What kind of place could have a seafood restaurant?	seafood restaurant	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york', 'coastal cities', 'city', 'coastal cities', 'boston'],
      dtype=object)}"	C
63e0569414c0bc6e51c8c230a598ac55	Who was the head of the branch yelling at?	head	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['owner', 'foot', 'subordinate', 'base', 'point'], dtype=object)}	C
142626e4fc9656c97d7d7f93822cc381	He made another call, he did this all day hoping people would what well to his offer?	call	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hang up', 'respond', 'contact', 'answer', 'attracting ducks'],
      dtype=object)}"	B
c59b184974e5f820763bd901a62a5473	She needs to visit a bookshop after buying the latest fashion, where should she look?	bookshop	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['student union', 'mall', 'department store', 'library',
       'town or city'], dtype=object)}"	B
58c3817107e323fdd7d70c4014990626	Where could you see an advertisement while reading news?	advertisement	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['television', 'bus', 'email', 'web page', 'la ville'], dtype=object)}	D
a7be27a64aad72c029f05a2c7fc6d55f	What is required to be good at playing tennis?	playing tennis	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tennis racket', 'skill', 'competition', 'tennis court', 'legs'],
      dtype=object)}"	B
6122883c3b5cd10b59a29dbd582e19c8	What state is the John Davis  Lodge toll road found in?	toll road	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new jersey', 'eastern united states', 'good repair',
       'connecticut', 'arizona'], dtype=object)}"	D
5cc173999089fd11673252a58b8c0feb	The man went to clown college, he had always want to run away with the what?	clown	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['circus', 'carnival', 'surprise', 'spoons', 'party'], dtype=object)}	A
d57ca8ce3f5ef4794d127c2385228698	Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?	reduce	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain weight', 'augment', 'dispare', 'make larger', 'expand'],
      dtype=object)}"	A
d6503fc1f87e3e2caeb7bf8e16526e0f	James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?	losing consciousness	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['death', 'coma', 'peace', 'forgetfulness', 'loss of life'],
      dtype=object)}"	A
1c16c914f3e9e99c678d6f1ec30194a8	If someone is aloof and self-important, what is their experience when meeting people?	meeting people	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stress', 'nervousness', 'smile', 'being bored',
       'making new friends'], dtype=object)}"	D
a7b24b7ab7f0065c8688ee84d47899f1	He was receiving workman's compensation, he had tripped over a metal rod while building where?	metal rod	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['factory', 'construction site', 'engine',
       ""insides of skyscraper's walls"", 'shops'], dtype=object)}"	B
e97a7b91a1ca85f362c42e04c983fc2a	John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?	communicating	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['static', 'train of thought.', 'progress',
       'transfer of information', 'collaboration'], dtype=object)}"	C
bc07822ca1f8892b80d632b9c03e1187	When you play around with your dog they will have?	dog	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['alive', 'health', 'fun', 'playing dead', 'black'], dtype=object)}	C
367a52860ea02568f014242ec1967d78	Where would a person keep a book while it's being read?	book	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['closet', 'library of congress', 'classroom', 'in bed', 'desk'],
      dtype=object)}"	E
ca9a3ccfb140aa66816f96ac983b6d9f	The student needed to  get some new pencils, where did he go?	pencils	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['store', 'classroom', 'backpack', 'cabinet', 'teacher'],
      dtype=object)}"	A
591221f7cf4790253d19b08d9ea1f77e	She loved buying products, she was driven by her what to shop more than any practical needs?	buying products	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desire', 'money', 'time', 'credit', 'spending money'],
      dtype=object)}"	A
cf9904211d9c602da9e41be0e3b24aff	How does getting paid feel?	getting paid	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['income tax', 'satisfaction', 'sorrow', 'ocean',
       'bill collectors to happy'], dtype=object)}"	B
864ff0aa11611d0de8865034ac0ecb86	The fat man refused to accept what was possible, he complained that he what the simplest activities?	possible	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['no go', 'unlikely', 'unable', 'cant do', 'impossibility'],
      dtype=object)}"	D
d4ebade47b1e84ab403efc715a7ca991	Where can meat last a long time?	meat	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backery', 'ham sandwich', 'fridge', 'butcher shop', 'freezer'],
      dtype=object)}"	E
3c0a8fd4547feaa73b8e5d797e7ecc76	What group of musicians will include someone playing the cello?	cello	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'symphony', 'band', 'music store', 'music shop'],
      dtype=object)}"	B
ad3aa40dec688333dba0b88e325481ea	Where do bees congregate with red flowerS?	bee	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['trash can', 'honey', 'bouquet of flowers', 'rose garden',
       'field of flowers'], dtype=object)}"	D
1bca9774955d7e794a6e48ffcf95e728	What is someone who gets angry after getting drunk likely to participate in?	getting drunk	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['violence', 'falling down', 'vomiting', 'vomiting',
       'lower standards'], dtype=object)}"	A
68b13a7a996a07b8ea6731349d9348a4	The teacher told all the students that listening was key, it was the main way they would gain what?	listening	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['empathy', 'anxiety', 'knowlege', 'falling down', 'hear things'],
      dtype=object)}"	C
c12221a251d96e691753cfd3ac0b33c4	Stanley had a dream that was very vivid and scary. He had trouble telling it from what?	dream	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reality', 'imagination', 'dreamworker', 'nightmare', 'awake'],
      dtype=object)}"	A
de450d514150b9ff12c25026253116f8	The city's community garden was demolished for yet another what?	garden	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wasteland', 'ocean', 'desert', 'parking lot', 'flowers'],
      dtype=object)}"	D
042ce5d57aed06e6988c3739050fb1e4	WHat do cats get into when they are ripping things apart?	cat	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""dog's mouth"", 'floor', 'garage', 'trouble', 'nature'],
      dtype=object)}"	D
77a4a131e9083f6a4c70e8f88df54056	What is a good result of losing weight?	losing weight	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['increased energy', 'healthier', 'loose skin', 'beauty', 'death'],
      dtype=object)}"	B
5f26970bd0b7b4a38f185aa5d5688717	A person lived in my what?	person	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['demonstration', 'conference', 'building', 'garage', 'mouth'],
      dtype=object)}"	D
8adc90ed047cb821793c84567a14d2e2	The skin was cut while chopping onions, where was this skin likely cut?	skin	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['good health', 'finger', 'meat', 'body', 'own family'],
      dtype=object)}"	B
167c0dc61979a026ebeb721f9513bda2	What might you feel after doing housework for hours?	doing housework	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anger', 'not boredom', 'stress', 'boredom', 'anxiety'],
      dtype=object)}"	C
1cc14f6c9ae4435ddb4e4c520eee0065	The accountant used a calculator regularly, he kept one at home and one at the what?	calculator	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desk drawer', 'desktop', 'office', 'wristwatch', 'city hall'],
      dtype=object)}"	C
49430bdae459f7368471e14391d0eeb1	At the end of your meal what will a waiter do?	waiter	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['serve food', 'eat', 'set table', 'serve meal', 'present bill'],
      dtype=object)}"	E
e63b2dd1db7e1bd707956a41d3d2a83c	If you aren't glad, unhappy or gloomy, what illness may you have?	glad	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['depressed', 'downcast', 'angry', 'unhappy', 'sorrowful'],
      dtype=object)}"	A
b18afff8078a6baa334b8bfb21db8624	You can hear testimony of how spirituality changes lives when you do what?	hear testimony	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to church', 'appear in court', 'watch soap operas',
       'paying attention', 'go into court'], dtype=object)}"	A
84a559081220249df3a27f1f406594f6	It was a great rest, she had never felt this much what in the morning?	rest	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['active', 'hunger', 'in motion', 'wakefulness', 'lay down'],
      dtype=object)}"	D
eefde762b9bf947d1c1b87fea4bbe6b4	Which region has the most famous temple?	temple	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jerusalem', 'jewish community', 'middle east', 'city', 'mosque'],
      dtype=object)}"	C
2a258ed37974c9226cbb32cfbf88d4f0	Where would you find a bee gathering pollen?	bee	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['united states', 'sky', 'court', 'field of flowers', 'orchard'],
      dtype=object)}"	D
